# Wood Mouldings Complete Catalog

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Chop pricing
- Join: Join pricing

## Wood Mouldings

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 206220 | 7/8" | 162 | Hudson II | 3.06 | 4.28 | 7.96 | 8.96 |
| 206CG | 3/4" | 270 | Marquis | 2.08 | 4.35 | 7.52 | 8.52 |
| 206S | 3/4" | 270 | Marquis | 2.08 | 4.35 | 7.52 | 8.52 |
| 207650 | 3/4" | 216 | Tate | 1.64 | 3.12 | 4.61 | 5.61 |
| 207660 | 3/4" | 216 | Tate | 1.64 | 3.08 | 4.61 | 5.61 |
| 207670 | 3/4" | 216 | Tate | 2.11 | 3.92 | 5.72 | 6.72 |
| 208710 | 3/4" | 190 | Alden | 6.36 | 7.84 | 12.54 | 13.54 |
| 208712 | 3/4" | 190 | Alden | 6.36 | 7.84 | 12.54 | 13.54 |
| 208CG | 3/4" | 216 | Marquis | 2.08 | 4.35 | 7.52 | 8.52 |
| 208CS | 3/4" | 216 | Marquis | 2.08 | 4.35 | 7.52 | 8.52 |
| 209706 | 1 3/16" | 195 | Olsen | 4.21 | 6.61 | 10.08 | 11.08 |
| 209708 | 1 3/16" | 195 | Olsen | 4.21 | 6.61 | 10.08 | 11.08 |
| 210247 | 3/4" | 470 | Renzo | 3.20 | 5.03 | 7.67 | 8.67 |
| 210285 | 11/16" | 200 | Tribeca | 1.63 | 2.73 | 5.18 | 6.18 |
| 210286 | 11/16" | 450 | White | 1.89 | 3.06 | 5.99 | 6.99 |
| 210440 | 3/4" | 470 | Bauhaus II | 3.77 | 5.57 | 6.52 | 7.52 |
| 210450 | 3/4" | 400 | Bauhaus II | 3.54 | 5.38 | 6.29 | 7.29 |
| 210G | 7/8" | 216 | Marquis | 2.16 | 4.53 | 7.81 | 8.81 |
| 212285 | 13/16" | 200 | Tribeca | 1.41 | 2.35 | 4.70 | 5.70 |
| 212403 | 3/4" | 252 | Whitman | 4.32 | 6.34 | 9.73 | 10.73 |
| 212405 | 3/4" | 252 | Whitman | 4.32 | 6.48 | 9.72 | 10.72 |
| 213403 | 3/4" | 216 | Whitman | 4.33 | 6.29 | 9.58 | 10.58 |
| 214650 | 11/16" | 288 | Tate | 1.86 | 3.79 | 6.07 | 7.07 |
| 214660 | 11/16" | 288 | Tate | 1.86 | 3.79 | 6.07 | 7.07 |
| 214670 | 11/16" | 288 | Tate | 3.25 | 5.27 | 8.48 |
