Item_Number,Description,Length_Price,Straight_Cut_Price,Chop_Price,Join_Price,Box_Price,Box_Qty,Width,Height,Rabbet_H,Cat_Page
37124,HARMONY PECAN,7.71,9.92,12.14,14.75,4.24,171,1 9/16,1 1/2,1 1/16,E-01
37143,HARMONY COFFEE,7.71,9.92,12.14,14.75,4.24,171,1 9/16,1 1/2,1 1/16,E-01
38029,BEECH NATURAL,4.61,6.36,8.10,10.30,2.54,275,1 3/8,13/16,5/8,A-79
38058,BEECH WHITEWASH,4.61,6.36,8.10,10.30,2.54,275,1 3/8,13/16,5/8,A-79
38129,BEECH NATURAL,5.39,7.19,9.00,11.31,2.96,210,1 3/4,13/16,5/8,A-79
38158,BEECH WHITEWASH,5.39,7.19,9.00,11.31,2.96,210,1 3/4,13/16,5/8,A-79
38229,BEECH NATURAL,4.55,6.29,8.03,10.22,2.50,400,3/4,1 1/2,1 1/4,A-79
38258,BEECH WHITEWASH,4.55,6.29,8.03,10.22,2.50,400,3/4,1 1/2,1 1/4,A-79
38329,BEECH NATURAL FLOATER,5.97,7.79,9.62,11.99,3.28,170,1 1/2,2,1 5/8,A-79
38358,BEECH WHITEWASH FLOATER,5.97,7.79,9.62,11.99,3.28,170,1 1/2,2,1 5/8,A-79
51020,OLEA COFFEE BROWN,4.26,5.96,7.66,9.79,2.34,355,3/4,1 1/16,13/16,E-17
51024,OLEA PECAN,4.26,5.96,7.66,9.79,2.34,355,3/4,1 1/16,13/16,E-17
51025,OLEA CHERRY,4.26,5.96,7.66,9.79,2.34,355,3/4,1 1/16,13/16,E-17
51040,OLEA TAUPE,4.26,5.96,7.66,9.79,2.34,355,3/4,1 1/16,13/16,E-17
51045,OLEA GRAY,4.26,5.96,7.66,9.79,2.34,355,3/4,1 1/16,13/16,E-17
52020,OLEA COFFEE BROWN,6.16,8.03,9.90,12.30,3.39,210,1 3/8,1 1/8,15/16,E-17
52024,OLEA PECAN,6.16,8.03,9.90,12.30,3.39,210,1 3/8,1 1/8,15/16,E-17
52025,OLEA CHERRY,6.16,8.03,9.90,12.30,3.39,210,1 3/8,1 1/8,15/16,E-17
52040,OLEA TAUPE,6.16,8.03,9.90,12.30,3.39,210,1 3/8,1 1/8,15/16,E-17
52045,OLEA GRAY,6.16,8.03,9.90,12.30,3.39,210,1 3/8,1 1/8,15/16,E-17
53020,OLEA COFFEE BROWN,12.68,16.00,19.32,22.51,6.97,100,2 3/4,1 3/8,1/2,E-15
53024,OLEA PECAN,12.68,16.00,19.32,22.51,6.97,100,2 3/4,1 3/8,1/2,E-15
53025,OLEA CHERRY,12.68,16.00,19.32,22.51,6.97,100,2 3/4,1 3/8,1/2,E-15
53040,OLEA TAUPE,12.68,16.00,19.32,22.51,6.97,100,2 3/4,1 3/8,1/2,E-15
53045,OLEA GRAY,12.68,16.00,19.32,22.51,6.97,100,2 3/4,1 3/8,1/2,E-15
54020,OLEA COFFEE,6.84,8.87,10.90,13.39,3.76,160,1 9/16,1 1/16,7/16,E-21
54024,OLEA PECAN,6.84,8.87,10.90,13.39,3.76,160,1 9/16,1 1/16,7/16,E-21
54025,OLEA CHERRY,6.84,8.87,10.90,13.39,3.76,160,1 9/16,1 1/16,7/16,E-21
54040,OLEA TAUPE,6.84,8.87,10.90,13.39,3.76,160,1 9/16,1 1/16,7/16,E-21
54045,OLEA GRAY,6.84,8.87,10.90,13.39,3.76,160,1 9/16,1 1/16,7/16,E-21
54720,PLUME COFFEE BROWN,6.95,9.00,11.05,13.56,3.82,160,1 3/4,1 1/16,3/4,E-19
54724,PLUME PECAN,6.95,9.00,11.05,13.56,3.82,160,1 3/4,1 1/16,3/4,E-19
54725,PLUME CHERRY,6.95,9.00,11.05,13.56,3.82,160,1 3/4,1 1/16,3/4,E-19
54740,PLUME TAUPE,6.95,9.00,11.05,13.56,3.82,160,1 3/4,1 1/16,3/4,E-19
54745,PLUME GRAY,6.95,9.00,11.05,13.56,3.82,160,1 3/4,1 1/16,3/4,E-19
56020,D'ORME COFFEE,5.68,7.48,9.29,11.63,3.12,270,1 3/16,1 1/16,7/8,E-23
56023,D'ORME LT PECAN,5.68,7.48,9.29,11.63,3.12,270,1 3/16,1 1/16,7/8,E-23
56025,D'ORME CHERRY,5.68,7.48,9.29,11.63,3.12,270,1 3/16,1 1/16,7/8,E-23
56040,D'ORME TAUPE,5.68,7.48,9.29,11.63,3.12,270,1 3/16,1 1/16,7/8,E-23
56045,D'ORME GRAY,5.68,7.48,9.29,11.63,3.12,270,1 3/16,1 1/16,7/8,E-23
57020,D'ORME COFFEE,7.11,9.19,11.28,13.81,3.91,159,1 9/16,1 1/16,7/16,E-23
57023,D'ORME LT PECAN,7.11,9.19,11.28,13.81,3.91,159,1 9/16,1 1/16,7/16,E-23
57025,D'ORME CHERRY,7.11,9.19,11.28,13.81,3.91,159,1 9/16,1 1/16,7/16,E-23
57040,D'ORME TAUPE,7.11,9.19,11.28,13.81,3.91,159,1 9/16,1 1/16,7/16,E-23
57045,D'ORME GRAY,7.11,9.19,11.28,13.81,3.91,159,1 9/16,1 1/16,7/16,E-23
58020,D'ORME COFFEE,13.77,17.34,20.91,24.20,7.57,140,2 3/4,1 3/8,9/16,E-25
58023,D'ORME LT PECAN,13.77,17.34,20.91,24.20,7.57,106,2 3/4,1 3/8,9/16,E-25
58025,D'ORME CHERRY,13.77,17.34,20.91,24.20,7.57,106,2 3/4,1 3/8,9/16,E-25
58040,D'ORME TAUPE,13.77,17.34,20.91,24.20,7.57,106,2 3/4,1 3/8,9/16,E-25
58045,D'ORME GRAY,13.77,17.34,20.91,24.20,7.57,106,2 3/4,1 3/8,9/16,E-25
60020,LYRA COFFEE,3.44,4.97,6.50,8.43,1.89,380,1,7/8,5/8,B-05
60026,LYRA GREIGE,3.44,4.97,6.50,8.43,1.89,380,1,7/8,5/8,B-05
60045,LYRA TAUPE,3.44,4.97,6.50,8.43,1.89,380,1,7/8,5/8,B-05
60058,LYRA IVORY,3.44,4.97,6.50,8.43,1.89,380,1,7/8,5/8,B-05
61020,LYRA COFFEE,4.83,6.60,8.37,10.61,2.66,228,1 1/2,7/8,5/8,B-05
61026,LYRA BEIGE,4.83,6.60,8.37,10.61,2.66,228,1 1/2,7/8,5/8,B-05
61045,LYRA TAUPE,4.83,6.60,8.37,10.61,2.66,228,1 1/2,7/8,5/8,B-05
61058,LYRA IVORY,4.83,6.60,8.37,10.61,2.66,228,1 1/2,7/8,5/8,B-05
61105,AVANT EBONY BROWN,5.71,7.51,9.32,11.66,3.14,190,1 3/4,1 1/4,11/16,B-01
61205,AVANT EBONY BROWN,6.87,8.90,10.94,13.44,3.78,152,2 1/4,1 1/4,5/8,B-01
61305,AVANT EBONY BROWN,9.90,12.57,15.23,18.13,5.45,85,3,1 5/8,11/16,B-01
64010,DUNE SAND,3.81,5.42,7.04,9.07,2.10,240,1 3/16,7/8,5/8,A-01
64020,DUNE KHAKI,3.81,5.42,7.04,9.07,2.10,240,1 3/16,7/8,5/8,A-01
64030,DUNE BARK,3.81,5.42,7.04,9.07,2.10,240,1 3/16,7/8,5/8,A-01
65010,DUNE SAND,3.77,5.38,6.99,9.01,2.07,380,3/4,1 1/8,15/16,A-01
65020,DUNE KHAKI,3.77,5.38,6.99,9.01,2.07,380,3/4,1 1/8,15/16,A-01
66010,DUNE SAND,5.70,7.50,9.31,11.65,3.14,220,1,2 1/8,1 1/2,A-01
66020,DUNE KHAKI,5.70,7.50,9.31,11.65,3.14,220,1,2 1/8,1 1/2,A-01
66030,DUNE BARK,5.70,7.50,9.31,11.65,3.14,220,1,2 1/8,1 1/2,A-01
67024,WILLOW PECAN,4.11,5.78,7.45,9.56,2.26,190,1 3/8,1 3/16,5/8,A-73
67028,WILLOW WALNUT,4.11,5.78,7.45,9.56,2.26,190,1 3/8,1 3/16,5/8,A-73
67045,WILLOW GRAY,4.11,5.78,7.45,9.56,2.26,190,1 3/8,1 3/16,5/8,A-73
67058,WILLOW IVORY,4.11,5.78,7.45,9.56,2.26,190,1 3/8,1 3/16,5/8,A-73
67124,WILLOW PECAN,6.91,8.95,10.99,13.49,3.80,95,2 3/16,1 7/16,5/8,A-73
