# Wood Mouldings Catalog (Final Section)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 521724 | 2 1/4" | 105 | Vermont | 6.38 | 11.40 | 18.16 | 19.16 |
| 521726 | 2 1/4" | 114 | Vermont | 6.37 | 11.40 | 18.13 | 19.13 |
| 521912 | 2 1/8" | 59 | Chateau | 12.59 | 18.82 | 27.00 | 28.00 |
| 522830 | 2 1/16" | 77 | Biltmore | 11.48 | 16.78 | 26.00 | 27.00 |
| 524940 | 2 3/4" | 72 | Gallery One | 5.51 | 8.35 | 12.81 | 13.81 |
| 524941 | 2 3/4" | 72 | Gallery One | 5.57 | 8.44 | 12.95 | 13.95 |
| 525552 | 1 9/16" | 157 | Ferrosa | 7.85 | 11.81 | 18.94 | 19.94 |
| 525554 | 1 9/16" | 149 | Ferrosa | 7.78 | 11.71 | 18.76 | 19.76 |
| 525556 | 1 9/16" | 148 | Ferrosa | 7.78 | 11.70 | 18.77 | 19.77 |
| 530650 | 2 1/4" | 162 | Tate | 3.61 | 5.90 | 8.43 | 9.43 |
| 530660 | 2 1/4" | 162 | Tate | 3.72 | 5.86 | 8.70 | 9.70 |
| 530670 | 2 1/4" | 162 | Tate | 4.35 | 6.32 | 10.83 | 11.83 |
| 531610 | 2 9/16" | 49 | Axel | 13.50 | 19.70 | 30.48 | 31.48 |
| 532530 | 2 3/4" | 87 | Tuscany | 6.30 | 9.95 | 15.87 | 16.87 |
| 533276 | 1 1/4" | 294 | Milo | 3.28 | 4.49 | 6.42 | 7.42 |
| 533277 | 1 1/4" | 294 | Milo | 3.28 | 4.49 | 6.42 | 7.42 |
| 533278 | 1 1/4" | 294 | Milo | 3.09 | 4.23 | 6.05 | 7.05 |
| 533516 | 1 1/4" | 144 | Ansley | 2.70 | 4.31 | 7.21 | 8.21 |
| 533517 | 1 1/4" | 144 | Ansley | 2.77 | 4.44 | 7.43 | 8.43 |
| 533519 | 1 1/4" | 144 | Ansley | 2.67 | 4.27 | 7.16 | 8.16 |
| 533526 | 1 1/4" | 144 | Ansley | 1.
