# Wood Mouldings Catalog (Part 3)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 313676 | 1" | 220 | Cranbrook | 4.55 | 7.29 | 9.88 | 10.88 |
| 313677 | 1" | 250 | Cranbrook | 4.66 | 6.58 | 10.72 | 11.72 |
| 313710 | 1 1/8" | 100 | Alden | 15.21 | 18.75 | 30.00 | 31.00 |
| 313712 | 1 1/8" | 100 | Alden | 15.21 | 18.75 | 30.00 | 31.00 |
| 314240 | 1 1/2" | 130 | Komodo | 4.68 | 6.76 | 10.25 | 11.25 |
| 314250 | 1 1/2" | 135 | Komodo | 4.68 | 6.75 | 10.23 | 11.23 |
| 315172 | 15/16" | 374 | Olmsted | 5.18 | 7.90 | 11.78 | 12.78 |
| 315173 | 15/16" | 216 | Olmsted | 6.13 | 9.18 | 13.73 | 14.73 |
| 316180 | 1 5/8" | 162 | Hudson | 3.78 | 5.74 | 10.24 | 11.24 |
| 316190 | 1 5/8" | 162 | Hudson | 3.89 | 5.79 | 10.21 | 11.21 |
| 316200 | 1 5/8" | 162 | Hudson II | 3.53 | 5.33 | 9.39 | 10.39 |
| 316210 | 1 5/8" | 162 | Hudson II | 3.70 | 5.57 | 9.83 | 10.83 |
| 316220 | 1 5/8" | 162 | Hudson II | 3.75 | 5.67 | 9.92 | 10.92 |
| 316516 | 1" | 216 | Ansley | 2.71 | 4.37 | 7.24 | 8.24 |
| 316517 | 1" | 216 | Ansley | 2.56 | 4.10 | 6.81 | 7.81 |
| 316519 | 1" | 216 | Ansley | 2.47 | 3.98 | 6.59 | 7.59 |
| 316526 | 1" | 216 | Ansley Black | 1.83 | 3.86 | 6.49 | 7.49 |
| 317100 | 1 1/8" | 270 | Spoleto | 3.93 | 7.34 | 13.19 | 14.19 |
| 317110 | 1 1/8" | 270 | Spoleto | 4.00 | 7.46 | 13.43 | 14.43 |
| 317130 | 1 1/8" | 270 | Spoleto | 3.95 | 7.37 | 13.25 | 14.25 |
| 317602 | 1 3/16" | 314 | Kensington | 4.21 | 6.67 | 10.49 | 11.49 |
| 319712 | 1" | 180 | Allegra | 4.61 | 6.86 | 11.86 | 12.86 |
| 320940 | 1 1/2" | 190 | Gallery One | 3.07 | 4.88 | 8.89 | 9.89 |
| 320941 | 1 1/2" | 190 | Gallery One | 2.98 | 4.74 | 8.63 | 9.63 |
| 321720 | 1" | 332 | Vermont | 2.80 | 6.65 | 10.93 | 11.93 |
| 321721 | 1" | 370 | Vermont | 2.72 | 6.44 | 10.59 | 11.59 |
| 321722 | 1" | 309 | Vermont | 2.71 | 6.43 | 10.58 | 11.58 |
| 321723 | 1" | 370 | Vermont | 2.79 | 6.62 | 10.89 | 11.89 |
